dependents:c10
,freshness_DIV,c10_DIV,d10_DIV,subject_DIV,variety,balance,disparsity,impact_diversity,teamsize,age_mean,age_std,pnum_mean,pnum_std,cn_mean,cn_std,rank_mean,rank_std,num_of_refs,journal fixed,Year fixed,R2,# of Smaples
Model 1,36.4853(****),--,--,--,--,--,--,--,4.5642(****),0.2827(****),-0.0816(),-0.4446(****),0.1750(****),0.0079(****),-0.0005(**),-0.0014(****),0.0034(****),1.2882(****),False,False,0.23158664527900386,113723
Model 2,32.7054(****),--,--,--,--,--,--,--,4.9637(****),0.1346(*),0.1888(*),-0.4051(****),0.1880(****),0.0072(****),-0.0004(**),-0.0003(),0.0004(),1.2521(****),True,False,0.1953922254671563,113723
Model 3,19.9198(****),--,--,--,--,--,--,--,2.9576(****),-0.0474(),-0.2700(**),-0.5389(****),0.1746(****),0.0080(****),-0.0007(****),-0.0026(****),0.0027(****),1.1355(****),False,True,0.17899431872192795,113723
Model 4,18.9394(****),--,--,--,--,--,--,--,3.7444(****),-0.0908(),0.0116(),-0.4829(****),0.1892(****),0.0073(****),-0.0007(****),-0.0011(****),0.0001(),1.0843(****),True,True,0.13831164521935058,113723
Model 5,--,-4.2324(***),--,--,--,--,--,--,4.7392(****),0.3065(****),-0.0676(),-0.4265(****),0.1714(****),0.0079(****),-0.0005(**),-0.0014(****),0.0035(****),1.2948(****),False,False,0.23014643123776035,113723
Model 6,--,-1.3262(),--,--,--,--,--,--,5.1155(****),0.1499(**),0.2009(*),-0.3926(****),0.1858(****),0.0072(****),-0.0004(*),-0.0003(),0.0005(),1.2531(****),True,False,0.19407693445682728,113723
Model 7,--,-9.6822(****),--,--,--,--,--,--,2.9576(****),-0.0499(),-0.2660(**),-0.5310(****),0.1734(****),0.0080(****),-0.0008(****),-0.0027(****),0.0028(****),1.1498(****),False,True,0.1789541969219416,113723
Model 8,--,-5.0934(****),--,--,--,--,--,--,3.7599(****),-0.0943(),0.0126(),-0.4790(****),0.1883(****),0.0073(****),-0.0007(****),-0.0011(****),0.0001(),1.0872(****),True,True,0.13797561377986423,113723
Model 9,--,--,-11.0255(****),--,--,--,--,--,4.5728(****),0.3084(****),-0.0791(),-0.4407(****),0.1708(****),0.0079(****),-0.0005(**),-0.0015(****),0.0036(****),1.2828(****),False,False,0.23085641220012454,113723
Model 10,--,--,-9.5813(****),--,--,--,--,--,5.0247(****),0.1503(**),0.1981(*),-0.3986(****),0.1855(****),0.0072(****),-0.0004(**),-0.0004(),0.0005(),1.2465(****),True,False,0.19467035428372848,113723
Model 11,--,--,-7.9076(****),--,--,--,--,--,2.8910(****),-0.0397(),-0.2733(**),-0.5410(****),0.1724(****),0.0080(****),-0.0007(****),-0.0027(****),0.0028(****),1.1295(****),False,True,0.1789549642647158,113723
Model 12,--,--,-6.4361(****),--,--,--,--,--,3.7293(****),-0.0883(),0.0125(),-0.4820(****),0.1878(****),0.0073(****),-0.0007(****),-0.0011(****),0.0001(),1.0763(****),True,True,0.13813813697205113,113723
Model 13,--,--,--,21.7754(),--,--,--,--,4.7518(****),0.3100(****),-0.0775(),-0.4291(****),0.1715(****),0.0079(****),-0.0005(**),-0.0014(****),0.0035(****),1.2802(****),False,False,0.22896302802694934,112593
Model 14,--,--,--,-224.7269(**),--,--,--,--,5.1339(****),0.1613(**),0.1937(*),-0.3937(****),0.1870(****),0.0072(****),-0.0004(**),-0.0003(),0.0005(),1.2772(****),True,False,0.19286779260962594,112593
Model 15,--,--,--,-216.0102(***),--,--,--,--,2.9584(****),-0.0377(),-0.2806(**),-0.5371(****),0.1739(****),0.0081(****),-0.0008(****),-0.0027(****),0.0028(****),1.1573(****),False,True,0.1783566449869627,112593
Model 16,--,--,--,-363.8431(****),--,--,--,--,3.7699(****),-0.0799(),0.0033(),-0.4812(****),0.1895(****),0.0073(****),-0.0007(****),-0.0012(****),0.0001(),1.1202(****),True,True,0.13754047262821023,112593
Model 17,--,--,--,--,68.9894(****),--,--,--,4.7032(****),0.2914(****),-0.0698(),-0.4270(****),0.1700(****),0.0079(****),-0.0005(**),-0.0014(****),0.0034(****),1.2408(****),False,False,0.23017496921850267,113723
Model 18,--,--,--,--,-10.4159(),--,--,--,5.1140(****),0.1502(**),0.1998(*),-0.3930(****),0.1859(****),0.0072(****),-0.0004(*),-0.0003(),0.0005(),1.2557(****),True,False,0.1940707419871307,113723
Model 19,--,--,--,--,-46.8890(**),--,--,--,2.9618(****),-0.0454(),-0.2742(**),-0.5359(****),0.1733(****),0.0080(****),-0.0007(****),-0.0027(****),0.0027(****),1.1557(****),False,True,0.17856820106735338,113723
