dependents:d10
,freshness_DIV,c10_DIV,d10_DIV,subject_DIV,variety,balance,disparsity,impact_diversity,teamsize,age_mean,age_std,pnum_mean,pnum_std,cn_mean,cn_std,rank_mean,rank_std,num_of_refs,journal fixed,Year fixed,R2,# of Smaples
Model 1,-0.1212(****),--,--,--,--,--,--,--,-0.0008(**),0.0002(****),-0.0002(**),-0.0000(*),0.0000(),-0.0000(),0.0000(),0.0000(***),-0.0000(***),-0.0002(****),False,False,0.0429903231820179,113723
Model 2,-0.1195(****),--,--,--,--,--,--,--,-0.0003(),0.0001(**),-0.0002(*),0.0000(),0.0000(),-0.0000(),0.0000(),0.0000(),-0.0000(*),-0.0003(****),True,False,0.04182521653871585,113723
Model 3,-0.1189(****),--,--,--,--,--,--,--,-0.0004(),0.0002(****),-0.0002(**),-0.0000(*),0.0000(),0.0000(),0.0000(),0.0000(****),-0.0000(**),-0.0002(****),False,True,0.03739535949046591,113723
Model 4,-0.1168(****),--,--,--,--,--,--,--,-0.0001(),0.0002(****),-0.0001(),0.0000(),0.0000(),-0.0000(),0.0000(),0.0000(),-0.0000(*),-0.0002(****),True,True,0.03487282337915498,113723
Model 5,--,-0.0719(****),--,--,--,--,--,--,-0.0010(***),0.0002(****),-0.0002(**),-0.0001(**),0.0001(),-0.0000(*),0.0000(),0.0000(****),-0.0000(*),-0.0000(),False,False,0.055276794687785125,113723
Model 6,--,-0.0693(****),--,--,--,--,--,--,-0.0006(*),0.0001(**),-0.0001(*),-0.0000(),0.0000(),-0.0000(*),0.0000(),0.0000(),-0.0000(),-0.0001(****),True,False,0.051193183514792295,113723
Model 7,--,-0.0689(****),--,--,--,--,--,--,-0.0006(*),0.0002(****),-0.0002(*),-0.0001(**),0.0000(),-0.0000(*),0.0000(),0.0000(****),-0.0000(*),-0.0000(),False,True,0.047217947877450483,113723
Model 8,--,-0.0664(****),--,--,--,--,--,--,-0.0003(),0.0002(****),-0.0001(),-0.0000(),0.0000(),-0.0000(),0.0000(),0.0000(),-0.0000(),-0.0000(**),True,True,0.04260050381880143,113723
Model 9,--,--,-0.0273(****),--,--,--,--,--,-0.0017(****),0.0001(***),-0.0003(***),-0.0001(****),0.0000(),-0.0000(),0.0000(),0.0000(***),-0.0000(**),-0.0002(****),False,False,0.01864256179072732,113723
Model 10,--,--,-0.0338(****),--,--,--,--,--,-0.0012(****),0.0001(*),-0.0002(**),-0.0001(**),0.0000(),-0.0000(),0.0000(),0.0000(),-0.0000(*),-0.0003(****),True,False,0.022657607335838326,113723
Model 11,--,--,-0.0270(****),--,--,--,--,--,-0.0008(**),0.0003(****),-0.0002(**),-0.0001(****),0.0000(),-0.0000(),0.0000(),0.0000(****),-0.0000(*),-0.0002(****),False,True,0.014618759522567193,113723
