subject1, subject2, similarity
Acoustics,Audiology & Speech-Language Pathology,0.1231439774
Acoustics,Acoustics,0.1138370504
Acoustics,Mechanics,0.0298995222
Acoustics,Engineering, Mechanical,0.0240229747
Acoustics,Radiology, Nuclear Medicine & Medical Imaging,0.0217328647
Acoustics,Otorhinolaryngology,0.0159580702
Acoustics,Engineering, Electrical & Electronic,0.0155273111
Acoustics,Obstetrics & Gynecology,0.0149967590
Acoustics,Linguistics,0.0141437643
Acoustics,Engineering,0.0139360095
Acoustics,Language & Linguistics,0.0086416638
Acoustics,Engineering, Multidisciplinary,0.0080691727
Acoustics,Computer Science,0.0068352364
Acoustics,Telecommunications,0.0067588824
Acoustics,Computer Science, Artificial Intelligence,0.0062790325
Acoustics,Instruments & Instrumentation,0.0060737938
Acoustics,Engineering, Biomedical,0.0060613894
Acoustics,Computer Science, Interdisciplinary Applications,0.0057446987
Acoustics,Engineering, Civil,0.0057407897
Acoustics,Imaging Science & Photographic Technology,0.0056187846
Acoustics,Engineering, Aerospace,0.0053493840
Acoustics,Automation & Control Systems,0.0049662118
Acoustics,Communication,0.0049207115
Acoustics,Rehabilitation,0.0045537063
Acoustics,Psychology, Experimental,0.0041676823
Acoustics,Mathematics, Interdisciplinary Applications,0.0039702280
Acoustics,Mathematics,0.0038298443
Acoustics,Mathematics, Applied,0.0037782055
Acoustics,Oceanography,0.0033831510
Acoustics,Materials Science, Characterization & Testing,0.0033437768
Acoustics,Physics, Multidisciplinary,0.0031168910
Acoustics,Physics, Applied,0.0030778218
Acoustics,Computer Science, Information Systems,0.0030269215
Acoustics,Psychology,0.0028270302
Acoustics,Physics, Fluids & Plasmas,0.0027891682
Acoustics,Geochemistry & Geophysics,0.0027566187
Acoustics,Optics,0.0027270065
Acoustics,Pediatrics,0.0026726442
Acoustics,Computer Science, Theory & Methods,0.0026459829
Acoustics,Engineering, Ocean,0.0026064438
Acoustics,Physics,0.0025632305
Acoustics,Physics, Mathematical,0.0024273132
Acoustics,Materials Science, Composites,0.0023939336
Acoustics,Construction & Building Technology,0.0023333770
Acoustics,Music,0.0022153391
Acoustics,Materials Science,0.0021051234
Acoustics,Computer Science, Software Engineering,0.0021002985
Acoustics,Cardiovascular System & Cardiology,0.0020655335
Acoustics,Neurosciences,0.0019867063
Acoustics,Cardiac & Cardiovascular Systems,0.0019652194
Acoustics,Computer Science, Hardware & Architecture,0.0018980646
Acoustics,Reproductive Biology,0.0018870097
Acoustics,Neurosciences & Neurology,0.0018668155
Acoustics,Multidisciplinary Sciences,0.0017975620
Acoustics,Peripheral Vascular Disease,0.0017886923
Acoustics,Robotics,0.0016981628
Acoustics,Materials Science, Multidisciplinary,0.0016749539
Acoustics,Surgery,0.0016404864
Acoustics,Gastroenterology & Hepatology,0.0016332371
Acoustics,Urology & Nephrology,0.0015531368
Acoustics,Physiology,0.0015128056
Acoustics,Science & Technology - Other Topics,0.0014937146
Acoustics,Mathematical & Computational Biology,0.0014556882
Acoustics,Behavioral Sciences,0.0014117239
Acoustics,Remote Sensing,0.0013981286
Acoustics,Psychology, Multidisciplinary,0.0013725154
Acoustics,Medical Informatics,0.0013587084
Acoustics,Thermodynamics,0.0013577683
Acoustics,Computer Science, Cybernetics,0.0013070089
Acoustics,Zoology,0.0012547598
Acoustics,Engineering, Manufacturing,0.0012406710
Acoustics,Medicine, General & Internal,0.0011473433
